date,value,up&down,10,20,30,60
2022-03-03,0.8417,-3.09,0.86578,0.86215,0.8679033333333332,1.0459666666666667
2022-03-04,0.8312,-1.25,0.8601099999999999,0.86152,0.86678,1.0383583333333335
2022-03-07,0.7937,-4.51,0.85084,0.859085,0.86429,1.0295116666666666
2022-03-08,0.793,-0.09,0.84335,0.8576,0.8612966666666666,1.0207216666666667
2022-03-09,0.7926,-0.05,0.8350799999999999,0.85436,0.8586066666666666,1.0118916666666666
2022-03-10,0.8249,4.08,0.83317,0.8530049999999999,0.8564799999999999,1.0028033333333335
2022-03-11,0.8216,-0.4,0.83008,0.85143,0.8538399999999999,0.99326
2022-03-14,0.7788,-5.21,0.8224600000000001,0.847075,0.8499933333333334,0.98302
2022-03-15,0.7405,-4.92,0.8086500000000001,0.84008,0.8456066666666667,0.9719933333333334
2022-03-16,0.7627,3.0,0.7980700000000001,0.833915,0.8416866666666666,0.96117
2022-03-17,0.7853,2.96,0.79243,0.829105,0.8389099999999999,0.9510416666666668
2022-03-18,0.7823,-0.38,0.78754,0.823825,0.83686,0.9411866666666668
2022-03-21,0.7815,-0.1,0.78632,0.8185800000000001,0.83483,0.9319216666666666
2022-03-22,0.7722,-1.19,0.7842399999999999,0.813795,0.8331466666666667,0.9224783333333334
2022-03-23,0.7843,1.57,0.78341,0.809245,0.83071,0.9133483333333334
2022-03-24,0.7648,-2.49,0.7774,0.8052849999999999,0.8278033333333333,0.9038083333333332
2022-03-25,0.7428,-2.88,0.76952,0.7998,0.8241266666666667,0.8934333333333334
2022-03-28,0.7199,-3.08,0.76363,0.793045,0.8192600000000001,0.8825133333333334
2022-03-29,0.713,-0.96,0.76088,0.7847649999999999,0.81368,0.8717083333333334
2022-03-30,0.7418,4.04,0.75879,0.77843,0.8088733333333333,0.861125
2022-03-31,0.7372,-0.62,0.7539800000000001,0.773205,0.8040633333333334,0.8515366666666667
2022-04-01,0.7561,2.56,0.75136,0.76945,0.79967,0.8420966666666666
2022-04-06,0.7473,-1.16,0.74794,0.76713,0.7950333333333334,0.8386
2022-04-07,0.7469,-0.05,0.74541,0.764825,0.791,0.8351716666666665
2022-04-08,0.7432,-0.5,0.7413000000000001,0.762355,0.7865966666666666,0.8318216666666667
2022-04-11,0.7111,-4.32,0.73593,0.756665,0.7821666666666667,0.82815
2022-04-12,0.7542,6.06,0.7370699999999999,0.753295,0.77889,0.8255316666666667
2022-04-13,0.7538,-0.05,0.74046,0.7520450000000001,0.7755166666666666,0.8229866666666666
2022-04-14,0.7911,4.95,0.74827,0.754575,0.7726000000000001,0.821275
2022-04-15,0.7842,-0.87,0.75251,0.75565,0.76979,0.8193333333333334
2022-04-18,0.7817,-0.32,0.75696,0.75547,0.76779,0.8178466666666667
2022-04-19,0.774,-0.99,0.7587499999999999,0.755055,0.7658833333333334,0.8163316666666666
2022-04-20,0.7813,0.94,0.7621499999999999,0.7550450000000001,0.76547,0.81488
2022-04-21,0.7684,-1.65,0.7643,0.754855,0.7646499999999999,0.8129733333333333
2022-04-22,0.7715,0.4,0.76713,0.754215,0.7639466666666667,0.8112766666666666
2022-04-25,0.7298,-5.41,0.769,0.7524649999999999,0.7607766666666667,0.8086283333333333
2022-04-26,0.7422,1.7,0.7678,0.752435,0.75813,0.8059850000000001
2022-04-27,0.7596,2.34,0.7683800000000001,0.75442,0.75749,0.8037416666666667
